IntID,ExtID,Type,Longitude,Latitude,uuid
254,16193,B,32.09152100,-28.42689600,4A696D87-45C7-E611-AFEB-00505698216F
255,16194,B,32.09189800,-28.42936900,4B696D87-45C7-E611-AFEB-00505698216F
256,16195,B,32.10055400,-28.41522600,4C696D87-45C7-E611-AFEB-00505698216F
257,16196,B,32.09894000,-28.41413800,4D696D87-45C7-E611-AFEB-00505698216F
258,16197,B,32.09632300,-28.41241600,4E696D87-45C7-E611-AFEB-00505698216F
259,16198,B,32.09701000,-28.41146600,4F696D87-45C7-E611-AFEB-00505698216F
260,16200,B,32.13434200,-28.40522300,50696D87-45C7-E611-AFEB-00505698216F
261,16201,B,32.13371600,-28.40577200,51696D87-45C7-E611-AFEB-00505698216F
262,16202,B,32.13331600,-28.40612700,52696D87-45C7-E611-AFEB-00505698216F
263,16205,B,32.13207600,-28.40602400,53696D87-45C7-E611-AFEB-00505698216F
264,16206,B,32.13254900,-28.40698800,54696D87-45C7-E611-AFEB-00505698216F
265,16208,B,32.12090300,-28.40539400,55696D87-45C7-E611-AFEB-00505698216F
266,16209,B,32.12083800,-28.40486600,56696D87-45C7-E611-AFEB-00505698216F
267,16211,B,32.12255800,-28.40313200,57696D87-45C7-E611-AFEB-00505698216F
268,16212,B,32.12204700,-28.40410900,58696D87-45C7-E611-AFEB-00505698216F
269,16213,B,32.12202000,-28.40271200,59696D87-45C7-E611-AFEB-00505698216F
270,16214,B,32.12304600,-28.40207300,5A696D87-45C7-E611-AFEB-00505698216F
271,16215,B,32.11784200,-28.40321800,5B696D87-45C7-E611-AFEB-00505698216F
272,16216,B,32.11821600,-28.40217500,5C696D87-45C7-E611-AFEB-00505698216F
273,16217,B,32.11927700,-28.40268400,5D696D87-45C7-E611-AFEB-00505698216F
274,16219,B,32.17253200,-28.38673400,5E696D87-45C7-E611-AFEB-00505698216F
275,16223,B,32.17138700,-28.38694300,5F696D87-45C7-E611-AFEB-00505698216F
276,16224,B,32.17107400,-28.38767600,60696D87-45C7-E611-AFEB-00505698216F
277,16225,B,32.17326400,-28.38672000,61696D87-45C7-E611-AFEB-00505698216F
