IntID,ExtID,Type,Longitude,Latitude,uuid,cluster
192,10182,B,32.18535,-28.33487,0c696d87-45c7-e611-afeb-00505698216f,3229
193,10183,B,32.187116,-28.334664,0d696d87-45c7-e611-afeb-00505698216f,3229
194,10184,B,32.17622,-28.341142,0e696d87-45c7-e611-afeb-00505698216f,3247
195,10185,B,32.212156,-28.344181,0f696d87-45c7-e611-afeb-00505698216f,3396
197,10187,B,32.169484,-28.330664,11696d87-45c7-e611-afeb-00505698216f,3218
198,10188,B,32.172772,-28.327477,12696d87-45c7-e611-afeb-00505698216f,3219
199,10189,B,32.177994,-28.32854,13696d87-45c7-e611-afeb-00505698216f,3434
200,10190,B,32.178162,-28.330119,14696d87-45c7-e611-afeb-00505698216f,3434
201,10191,B,32.179101,-28.330382,15696d87-45c7-e611-afeb-00505698216f,3228
202,10192,B,32.178757,-28.327964,16696d87-45c7-e611-afeb-00505698216f,3226
203,10194,B,32.185938,-28.317234,17696d87-45c7-e611-afeb-00505698216f,2411
204,10195,B,32.186739,-28.31677,18696d87-45c7-e611-afeb-00505698216f,2411
205,10196,B,32.188196,-28.315292,19696d87-45c7-e611-afeb-00505698216f,2410
206,10197,B,32.189203,-28.314646,1a696d87-45c7-e611-afeb-00505698216f,2409
207,10198,B,32.189817,-28.314644,1b696d87-45c7-e611-afeb-00505698216f,2407
208,10199,B,32.22322,-28.331134,1c696d87-45c7-e611-afeb-00505698216f,1619
209,10200,B,32.187307,-28.315946,1d696d87-45c7-e611-afeb-00505698216f,2410
210,10202,B,32.224909,-28.330325,1e696d87-45c7-e611-afeb-00505698216f,1635
211,10203,B,32.225325,-28.329741,1f696d87-45c7-e611-afeb-00505698216f,1634
212,10204,B,32.225794,-28.329068,20696d87-45c7-e611-afeb-00505698216f,1634
213,10205,B,32.226092,-28.328561,21696d87-45c7-e611-afeb-00505698216f,1633
214,10206,B,32.227194,-28.328345,22696d87-45c7-e611-afeb-00505698216f,1633
215,10351,B,32.205141,-28.318939,23696d87-45c7-e611-afeb-00505698216f,3418
216,10352,B,32.204889,-28.319551,24696d87-45c7-e611-afeb-00505698216f,3418
217,10353,B,32.203355,-28.320612,25696d87-45c7-e611-afeb-00505698216f,3417
218,10354,B,32.202425,-28.321401,26696d87-45c7-e611-afeb-00505698216f,3418
219,10355,B,32.1998,-28.322052,27696d87-45c7-e611-afeb-00505698216f,3427
220,10356,B,32.201128,-28.323994,28696d87-45c7-e611-afeb-00505698216f,3428
221,10357,B,32.193414,-28.321665,29696d87-45c7-e611-afeb-00505698216f,3431
222,10990,B,32.052957,-28.28906,2a696d87-45c7-e611-afeb-00505698216f,2857
223,10991,B,32.051996,-28.289002,2b696d87-45c7-e611-afeb-00505698216f,2857
