cluster,longitude,latitude
25,32.16554,-28.432362
25,32.165215,-28.432232
26,32.165597,-28.432152
26,32.165425,-28.431841
26,32.165577,-28.431542
26,32.165276,-28.432131
26,32.165474,-28.431742
26,32.165314,-28.432032
26,32.165658,-28.432042
26,32.165757,-28.431853
26,32.165731,-28.432017
26,32.165528,-28.431632
27,32.16645363,-28.43257426
27,32.166207,-28.432461
27,32.166647,-28.432301
27,32.165974,-28.432372
27,32.166116,-28.432456
27,32.166447,-28.432263
27,32.16639,-28.43213
27,32.166207,-28.432162
27,32.166115,-28.432122
27,32.165967,-28.432082
28,32.166646,-28.431942
28,32.166527,-28.431902
28,32.165856,-28.431662
28,32.166146,-28.431742
28,32.166405,-28.431853
28,32.166287,-28.431801
28,32.165894,-28.431551
28,32.166344,-28.431592
28,32.16613471,-28.43150172
28,32.166386,-28.431492
29,32.166775,-28.432002
29,32.166886,-28.432051
29,32.167107,-28.432211
29,32.167184,-28.432572
29,32.167146,-28.432105
29,32.167283,-28.432397
29,32.167897,-28.431632
29,32.167935,-28.431733
29,32.167996,-28.431962
29,32.167977,-28.431841
30,32.168034,-28.432072
30,32.168065,-28.432171
30,32.168088,-28.432282
30,32.168114,-28.432381
30,32.168145,-28.432492
30,32.168187,-28.432642
30,32.168328,-28.431582
30,32.168404,-28.432063
30,32.168305,-28.431471
30,32.168404,-28.431712
31,32.168717,-28.432723
31,32.168576,-28.432723
31,32.168988,-28.432341
31,32.168915,-28.432103
31,32.169121,-28.43247
31,32.168725,-28.432341
31,32.168595,-28.432341
31,32.168866,-28.432341
31,32.169106,-28.432072
31,32.168465,-28.432341
32,32.168774,-28.432072
32,32.168645,-28.432072
32,32.169167,-28.431962
32,32.169217,-28.431752
32,32.169175,-28.431853
32,32.168526,-28.432072
32,32.169247,-28.431641
32,32.168828,-28.431681
32,32.168675,-28.431702
32,32.168545,-28.431702
33,32.169255,-28.432353
33,32.169385,-28.432131
33,32.169396,-28.432332
33,32.169785,-28.432303
33,32.169705,-28.432501
33,32.169747,-28.432402
33,32.169816,-28.432192
33,32.169674,-28.432612
33,32.169865,-28.432091
33,32.169427,-28.432032
34,32.169896,-28.431983
34,32.169465,-28.431942
34,32.169938,-28.431881
34,32.169507,-28.431832
34,32.170044,-28.431551
34,32.169575,-28.431622
34,32.170006,-28.431693
34,32.169537,-28.431721
34,32.169964,-28.431782
34,32.169617,-28.431511
35,32.15852,-28.430167
35,32.158848,-28.429562
35,32.15876929,-28.43085266
35,32.158644,-28.430694
35,32.15947037,-28.43107172
35,32.158837,-28.429963
35,32.159249,-28.430485
35,32.158688,-28.429904
